cohort_name,estimate,value,diagnostics,source
pregnant_alcohol_misuse,Clinical description,"Pregnant alcohol misuse refers to the consumption of alcohol by a pregnant individual. This can range from occasional to chronic heavy drinking, and the aetiology involves complex biopsychosocial factors leading to alcohol use disorder.",cohort_count,gemini-2.5-flash
pregnant_alcohol_misuse,Frequency,"Pregnant alcohol misuse is frequently seen in real-world healthcare data but is often under-recorded due to stigma and under-reporting. Cases can be identified across primary care, antenatal clinics, hospital settings, and addiction services.",cohort_count,gemini-2.5-flash
pregnant_alcohol_misuse,Median age of incident cases,"25 to 35 (Individuals presenting with pregnant alcohol misuse are typically within the common reproductive age range, often slightly older due to the gradual development of chronic alcohol use disorder.)",cohort_characteristics,gemini-2.5-flash
pregnant_alcohol_misuse,Percentage male,"0% to 0% (By definition, this cohort comprises only pregnant individuals, hence the proportion of males is zero.)",cohort_characteristics,gemini-2.5-flash
pregnant_alcohol_misuse,Survival at five years,"80% to 95% (The five-year survival estimate reflects the long-term impact of underlying chronic alcohol misuse, which can significantly reduce life expectancy compared to the general population, although acute mortality during pregnancy directly attributable to alcohol misuse is low.)",cohort_survival,gemini-2.5-flash
pregnant_alcohol_misuse,Cohort overlap,"You would expect high overlap with mother_table (100%). Moderate overlap would be expected with obesity_pregnant (20-40%), miscarriage (10-25%), preterm_labour (10-20%), stillbirth (5-15%), postpartum_haemorrhage (5-15%), and dysfunctional_labour (5-15%). Lower overlap would be expected with antepartum_haemorrhage (2-8%) and maternal_death (<1%).",compare_cohorts,gemini-2.5-flash
pregnant_alcohol_misuse,Cohort timing,"Individuals will typically enter the pregnant alcohol misuse cohort first as it is an ongoing condition or risk factor that predisposes to later pregnancy complications, which will be diagnosed subsequently.",compare_cohorts,gemini-2.5-flash
pregnant_alcohol_misuse,Frequently seen comorbidities,"Depression, anxiety disorders, other substance use disorders, alcoholic liver disease, pancreatitis, malnutrition, hypertension, sexually transmitted infections, anaemia, peripheral neuropathy. (These comorbidities are frequently observed due to the systemic effects of chronic alcohol consumption, associated lifestyle factors, and shared underlying vulnerabilities.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
pregnant_alcohol_misuse,Frequently seen signs and symptoms,"Tremors, nausea, vomiting, blackouts, memory impairment, slurred speech, impaired judgement, neglect of self-care, withdrawal symptoms, signs of malnutrition. (These signs and symptoms are direct manifestations of acute alcohol intoxication, chronic alcohol effects on the body, or consequences of alcohol withdrawal and associated lifestyle factors.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
pregnant_alcohol_misuse,Frequently seen medications,"Chlordiazepoxide, diazepam, naltrexone, acamprosate, disulfiram, sertraline, thiamine, folic acid, furosemide, omeprazole. (These medications are typically prescribed to manage alcohol withdrawal symptoms, reduce cravings, treat co-occurring mental health conditions, address nutritional deficiencies, and manage complications such as liver disease.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
