codelist_name,concept_id,concept_name,standard_concept
Injury of abdomen,619610,Partial spontaneous rupture of fetal umbilical cord,S
Injury of abdomen,37110289,Postpartum hemorrhage co-occurrent and due to uterine rupture following obstructed labor,S
Injury of abdomen,192767,Injury of renal artery,S
Injury of abdomen,4045408,Ischemic stricture of intestine,S
Injury of abdomen,46269902,Perforation of small intestine co-occurrent with hemorrhage due to diverticulitis,S
Injury of abdomen,442080,Obstetric laceration of cervix - delivered,S
Injury of abdomen,4321555,Contusion of kidney,S
Injury of abdomen,197037,Nontraumatic rupture of bladder,S
Injury of abdomen,4139446,Rupture of fallopian tube,S
Injury of abdomen,36717529,Renal papillary necrosis due to sickle cell disease,S
Injury of abdomen,4057950,Mesenteric fat saponification,S
Injury of abdomen,4266377,Failed attempted termination of pregnancy with laceration of uterus,S
Injury of abdomen,4179183,Gastric rupture,S
Injury of abdomen,4122871,Bruising of umbilical cord,S
Injury of abdomen,35610588,Recurrent epigastric hernia with fascial defect < 2 cm with gangrene,S
Injury of abdomen,3188309,Gunshot wound of stomach,S
Injury of abdomen,4214430,Incisional ventral hernia with obstruction and gangrene,S
Injury of abdomen,3655184,Gangrene of mesentery of ileum,S
Injury of abdomen,40485974,Laceration of parenchyma of spleen,S
Injury of abdomen,4056006,Contusion of anterior abdominal wall,S
Injury of abdomen,193355,Injury of liver,S
Injury of abdomen,4137330,Contusion of rectum,S
Injury of abdomen,4150471,Traumatic blister of abdominal wall,S
Injury of abdomen,35625105,Gangrene co-occurrent and due to left femoral hernia,S
Injury of abdomen,199855,Acute gastric ulcer with hemorrhage AND with perforation but without obstruction,S
Injury of abdomen,4169992,Spleen injury due to birth trauma,S
Injury of abdomen,37109933,Duodenitis caused by ionizing radiation,S
Injury of abdomen,4173408,Chronic duodenal ulcer with perforation,S
Injury of abdomen,4221422,Necrosis of ovary,S
Injury of abdomen,3172250,Right flank laceration,S
Injury of abdomen,4234604,Dehiscence AND/OR disruption of uterine wound in the puerperium,S
Injury of abdomen,4312358,Legal termination of pregnancy with perforation of cervix,S
Injury of abdomen,4062224,Injury of celiac ganglion,S
Injury of abdomen,4312723,Postoperative bladder perforation,S
Injury of abdomen,37395689,Injury of gallbladder during surgery,S
Injury of abdomen,439058,Chronic duodenal ulcer with perforation AND obstruction,S
Injury of abdomen,4055721,"Splinter of abdominal wall, without major open wound",S
Injury of abdomen,4226862,Rupture of corpus luteum cyst,S
Injury of abdomen,4341635,Radiation proctitis,S
Injury of abdomen,4328869,Burn of uterus,S
Injury of abdomen,201894,Acute vascular insufficiency of intestine,S
Injury of abdomen,4137333,Contusion of mesentery,S
Injury of abdomen,37309639,Acute infarction of small intestine,S
Injury of abdomen,36716504,Fetal intrauterine intestinal perforation due to in utero intraluminal obstruction,S
Injury of abdomen,42536789,Perforating wound of stomach following ingestion of foreign material,S
Injury of abdomen,4054908,Closed injury of kidney,S
Injury of abdomen,4206008,Congenital junctional epidermolysis bullosa-pyloric atresia syndrome,S
Injury of abdomen,40487883,Traumatic rupture of mesenteric vessel,S
Injury of abdomen,761083,Acute injury of kidney,S
Injury of abdomen,4268004,Injury of pancreas,S
Injury of abdomen,443541,Recurrent inguinal hernia with gangrene,S
Injury of abdomen,4329444,Infarction of prostate,S
